resource_id,resource_name,audit_month,resource_type,environment,monthly_cost_eur,cost_trend,cpu_percent,memory_percent,request_volume,last_active_date,active_hours_per_day,deployment_age_days,duplicate_flag,owner_assigned
R039,dev-ml-training-box-02,2024-12,EC2 GPU Instance,development,495,rising,7.4,12,0,2024-10-05,22.0,100,no,no
R040,dev-ml-training-box-02,2025-01,EC2 GPU Instance,development,495,rising,6.8,11,0,2024-10-05,22.0,130,no,no
R041,dev-ml-training-box-02,2025-02,EC2 GPU Instance,development,505,rising,6.1,10,0,2024-10-05,22.0,160,no,no
R042,dev-ml-training-box-02,2025-03,EC2 GPU Instance,development,505,rising,5.5,9,0,2024-10-05,22.0,190,no,no
R043,orphaned-backup-vol-01,2024-10,S3 Storage,unknown,43,stable,0,0,0,2024-07-01,0.0,480,no,no
R044,orphaned-backup-vol-01,2024-11,S3 Storage,unknown,43,stable,0,0,0,2024-07-01,0.0,510,no,no
R045,orphaned-backup-vol-01,2024-12,S3 Storage,unknown,44,rising,0,0,0,2024-07-01,0.0,540,no,no
R046,orphaned-backup-vol-01,2025-01,S3 Storage,unknown,44,rising,0,0,0,2024-07-01,0.0,570,no,no
R047,orphaned-backup-vol-01,2025-02,S3 Storage,unknown,45,rising,0,0,0,2024-07-01,0.0,600,no,no
R048,orphaned-backup-vol-01,2025-03,S3 Storage,unknown,45,rising,0,0,0,2024-07-01,0.0,630,no,no
R049,orphaned-backup-vol-02,2024-10,S3 Storage,unknown,38,stable,0,0,0,2024-06-15,0.0,495,no,no
R050,orphaned-backup-vol-02,2024-11,S3 Storage,unknown,38,stable,0,0,0,2024-06-15,0.0,525,no,no
R051,orphaned-backup-vol-02,2024-12,S3 Storage,unknown,39,rising,0,0,0,2024-06-15,0.0,555,no,no
R052,orphaned-backup-vol-02,2025-01,S3 Storage,unknown,39,rising,0,0,0,2024-06-15,0.0,585,no,no
R053,orphaned-backup-vol-02,2025-02,S3 Storage,unknown,40,rising,0,0,0,2024-06-15,0.0,615,no,no
R054,orphaned-backup-vol-02,2025-03,S3 Storage,unknown,40,rising,0,0,0,2024-06-15,0.0,645,no,no
R055,old-reporting-server,2024-10,EC2 Instance,production,165,stable,0.5,2,0,2024-06-15,0.1,540,no,no
R056,old-reporting-server,2024-11,EC2 Instance,production,165,stable,0.3,2,0,2024-06-15,0.0,570,no,no
R057,old-reporting-server,2024-12,EC2 Instance,production,165,rising,0.2,1,0,2024-06-15,0.0,600,no,no
R058,old-reporting-server,2025-01,EC2 Instance,production,168,rising,0.1,1,0,2024-06-15,0.0,630,no,no
R059,old-reporting-server,2025-02,EC2 Instance,production,168,rising,0.1,1,0,2024-06-15,0.0,660,no,no
R060,old-reporting-server,2025-03,EC2 Instance,production,170,rising,0.0,1,0,2024-06-15,0.0,690,no,no
R061,staging-db-oversized,2024-10,RDS Database,staging,340,stable,6.2,9,420,2024-10-30,8.0,120,no,yes
R062,staging-db-oversized,2024-11,RDS Database,staging,340,stable,5.8,8,380,2024-11-28,7.5,150,no,yes
R063,staging-db-oversized,2024-12,RDS Database,staging,345,rising,5.1,7,310,2024-12-20,6.8,180,no,yes
R064,staging-db-oversized,2025-01,RDS Database,staging,345,rising,4.8,7,280,2025-01-18,6.2,210,no,yes
R065,staging-db-oversized,2025-02,RDS Database,staging,350,rising,4.2,6,240,2025-02-15,5.8,240,no,yes
R066,staging-db-oversized,2025-03,RDS Database,staging,350,rising,3.9,6,200,2025-03-10,5.2,270,no,yes
R067,temp-migration-server,2024-10,EC2 Instance,production,145,stable,0.9,3,0,2024-09-30,0.5,30,no,no
R068,temp-migration-server,2024-11,EC2 Instance,production,145,rising,0.6,2,0,2024-09-30,0.3,60,no,no
R069,temp-migration-server,2024-12,EC2 Instance,production,148,rising,0.4,2,0,2024-09-30,0.1,90,no,no
R070,temp-migration-server,2025-01,EC2 Instance,production,148,rising,0.2,1,0,2024-09-30,0.0,120,no,no
R071,temp-migration-server,2025-02,EC2 Instance,production,150,rising,0.1,1,0,2024-09-30,0.0,150,no,no
R072,temp-migration-server,2025-03,EC2 Instance,production,150,rising,0.0,1,0,2024-09-30,0.0,180,no,no
R073,dev-auth-service-clone,2024-10,EC2 Instance,development,112,stable,2.1,5,0,2024-08-20,1.5,75,yes,no
R074,dev-auth-service-clone,2024-11,EC2 Instance,development,112,stable,1.8,4,0,2024-08-20,1.2,105,yes,no
R075,dev-auth-service-clone,2024-12,EC2 Instance,development,112,rising,1.4,4,0,2024-08-20,0.8,135,yes,no
R076,dev-auth-service-clone,2025-01,EC2 Instance,development,115,rising,1.1,3,0,2024-08-20,0.5,165,yes,no
R077,dev-auth-service-clone,2025-02,EC2 Instance,development,115,rising,0.8,3,0,2024-08-20,0.3,195,yes,no
R078,dev-auth-service-clone,2025-03,EC2 Instance,development,115,rising,0.5,2,0,2024-08-20,0.1,225,yes,no
R079,dev-frontend-sandbox,2024-10,EC2 Instance,development,78,stable,1.2,4,12,2024-10-31,24.0,30,no,yes
R080,dev-frontend-sandbox,2024-11,EC2 Instance,development,78,stable,1.1,3,8,2024-11-30,24.0,60,no,yes
R081,dev-frontend-sandbox,2024-12,EC2 Instance,development,78,rising,0.8,3,4,2024-12-15,24.0,90,no,no
R082,dev-frontend-sandbox,2025-01,EC2 Instance,development,78,rising,0.6,2,2,2024-12-15,24.0,120,no,no
R083,dev-frontend-sandbox,2025-02,EC2 Instance,development,80,rising,0.4,2,0,2024-12-15,24.0,150,no,no
R084,dev-frontend-sandbox,2025-03,EC2 Instance,development,80,rising,0.2,1,0,2024-12-15,24.0,180,no,no
R085,prod-db-primary,2024-10,RDS Database,production,290,stable,61,58,28900,2024-10-31,23.9,420,no,yes
R086,prod-db-primary,2024-11,RDS Database,production,290,stable,63,60,29400,2024-11-30,23.9,450,no,yes
R087,prod-db-primary,2024-12,RDS Database,production,290,stable,62,59,29100,2024-12-31,23.9,480,no,yes
R088,prod-db-primary,2025-01,RDS Database,production,290,stable,64,61,29800,2025-01-31,23.9,510,no,yes
R089,prod-db-primary,2025-02,RDS Database,production,295,rising,65,62,30200,2025-02-28,23.9,540,no,yes
R090,prod-db-primary,2025-03,RDS Database,production,295,stable,64,61,29900,2025-03-31,23.9,570,no,yes
R091,prod-load-balancer,2024-10,Load Balancer,production,55,stable,45,40,52000,2024-10-31,24.0,365,no,yes
R092,prod-load-balancer,2024-11,Load Balancer,production,55,stable,46,41,53100,2024-11-30,24.0,395,no,yes
R093,prod-load-balancer,2024-12,Load Balancer,production,55,stable,47,42,54200,2024-12-31,24.0,425,no,yes
R094,prod-load-balancer,2025-01,Load Balancer,production,55,stable,46,41,53500,2025-01-31,24.0,455,no,yes
R095,prod-load-balancer,2025-02,Load Balancer,production,55,stable,47,42,54000,2025-02-28,24.0,485,no,yes
R096,prod-load-balancer,2025-03,Load Balancer,production,55,stable,48,43,55100,2025-03-31,24.0,515,no,yes
R097,prod-cache-cluster,2024-10,ElastiCache,production,210,stable,68,71,38400,2024-10-31,23.8,365,no,yes
R098,prod-cache-cluster,2024-11,ElastiCache,production,210,stable,70,73,39200,2024-11-30,23.8,395,no,yes
R099,prod-cache-cluster,2024-12,ElastiCache,production,215,rising,71,74,40100,2024-12-31,23.8,425,no,yes
R100,prod-cache-cluster,2025-01,ElastiCache,production,215,stable,70,73,39800,2025-01-31,23.8,455,no,yes
R101,prod-cache-cluster,2025-02,ElastiCache,production,220,rising,72,75,40900,2025-02-28,23.8,485,no,yes
R102,prod-cache-cluster,2025-03,ElastiCache,production,220,stable,71,74,40500,2025-03-31,23.8,515,no,yes
R103,prod-monitoring-agent,2024-10,CloudWatch,production,32,stable,12,18,8900,2024-10-31,24.0,365,no,yes
R104,prod-monitoring-agent,2024-11,CloudWatch,production,32,stable,13,19,9100,2024-11-30,24.0,395,no,yes
R105,prod-monitoring-agent,2024-12,CloudWatch,production,32,stable,12,18,8800,2024-12-31,24.0,425,no,yes
R106,prod-monitoring-agent,2025-01,CloudWatch,production,32,stable,13,18,9000,2025-01-31,24.0,455,no,yes
R107,prod-monitoring-agent,2025-02,CloudWatch,production,32,stable,12,19,8900,2025-02-28,24.0,485,no,yes
R108,prod-monitoring-agent,2025-03,CloudWatch,production,32,stable,13,18,9100,2025-03-31,24.0,515,no,yes
R109,prod-cdn-distribution,2024-10,CloudFront,production,88,stable,55,48,91000,2024-10-31,24.0,280,no,yes
R110,prod-cdn-distribution,2024-11,CloudFront,production,88,stable,57,50,93500,2024-11-30,24.0,310,no,yes
R111,prod-cdn-distribution,2024-12,CloudFront,production,90,rising,58,51,95200,2024-12-31,24.0,340,no,yes
R112,prod-cdn-distribution,2025-01,CloudFront,production,90,stable,57,50,94100,2025-01-31,24.0,370,no,yes
R113,prod-cdn-distribution,2025-02,CloudFront,production,92,rising,59,52,96800,2025-02-28,24.0,400,no,yes
R114,prod-cdn-distribution,2025-03,CloudFront,production,92,stable,58,51,95900,2025-03-31,24.0,430,no,yes
R115,prod-email-service,2024-10,SES Service,production,41,stable,28,32,18400,2024-10-31,23.5,65,no,yes
R116,prod-email-service,2024-11,SES Service,production,41,stable,29,33,18900,2024-11-30,23.5,95,no,yes
R117,prod-email-service,2024-12,SES Service,production,42,stable,28,32,18600,2024-12-31,23.5,125,no,yes
R118,prod-email-service,2025-01,SES Service,production,42,stable,30,34,19200,2025-01-31,23.5,155,no,yes
R119,prod-email-service,2025-02,SES Service,production,42,stable,29,33,18800,2025-02-28,23.5,185,no,yes
R120,prod-email-service,2025-03,SES Service,production,43,rising,31,35,19500,2025-03-31,23.5,215,no,yes
R121,prod-data-warehouse,2024-10,Redshift Cluster,production,480,stable,57,62,12400,2025-03-31,23.5,180,no,yes
R122,prod-data-warehouse,2024-11,Redshift Cluster,production,480,stable,58,62,12400,2025-03-31,23.5,210,no,yes
R123,prod-data-warehouse,2024-12,Redshift Cluster,production,480,stable,59,62,12400,2025-03-31,23.5,240,no,yes
R124,prod-data-warehouse,2025-01,Redshift Cluster,production,480,stable,57,62,12400,2025-03-31,23.5,270,no,yes
R125,prod-data-warehouse,2025-02,Redshift Cluster,production,480,stable,60,62,12400,2025-03-31,23.5,300,no,yes
R126,prod-data-warehouse,2025-03,Redshift Cluster,production,480,stable,59,62,12400,2025-03-31,23.5,330,no,yes
R127,prod-search-service,2024-10,Elasticsearch,production,310,stable,51,68,28900,2025-03-31,24.0,180,no,yes
R128,prod-search-service,2024-11,Elasticsearch,production,310,stable,52,68,28900,2025-03-31,24.0,210,no,yes
R129,prod-search-service,2024-12,Elasticsearch,production,310,stable,53,68,28900,2025-03-31,24.0,240,no,yes
R130,prod-search-service,2025-01,Elasticsearch,production,310,stable,51,68,28900,2025-03-31,24.0,270,no,yes
R131,prod-search-service,2025-02,Elasticsearch,production,310,stable,54,68,28900,2025-03-31,24.0,300,no,yes
R132,prod-search-service,2025-03,Elasticsearch,production,310,stable,53,68,28900,2025-03-31,24.0,330,no,yes
R133,prod-queue-service,2024-10,SQS + Lambda,production,145,rising,37,42,95000,2025-03-31,24.0,180,no,yes
R134,prod-queue-service,2024-11,SQS + Lambda,production,145,rising,38,42,95500,2025-03-31,24.0,210,no,yes
R135,prod-queue-service,2024-12,SQS + Lambda,production,150,rising,39,42,96000,2025-03-31,24.0,240,no,yes
R136,prod-queue-service,2025-01,SQS + Lambda,production,150,rising,37,42,96500,2025-03-31,24.0,270,no,yes
R137,prod-queue-service,2025-02,SQS + Lambda,production,155,rising,40,42,97000,2025-03-31,24.0,300,no,yes
R138,prod-queue-service,2025-03,SQS + Lambda,production,155,rising,39,42,97500,2025-03-31,24.0,330,no,yes
R139,prod-auth-service,2024-10,EC2 Instance,production,220,stable,60,55,34200,2025-03-31,23.8,180,no,yes
R140,prod-auth-service,2024-11,EC2 Instance,production,220,stable,61,55,34200,2025-03-31,23.8,210,no,yes
R141,prod-auth-service,2024-12,EC2 Instance,production,220,stable,62,55,34200,2025-03-31,23.8,240,no,yes
R142,prod-auth-service,2025-01,EC2 Instance,production,220,stable,60,55,34200,2025-03-31,23.8,270,no,yes
R143,prod-auth-service,2025-02,EC2 Instance,production,220,stable,63,55,34200,2025-03-31,23.8,300,no,yes
R144,prod-auth-service,2025-03,EC2 Instance,production,220,stable,62,55,34200,2025-03-31,23.8,330,no,yes
R145,prod-backup-service,2024-10,S3 + Glacier,production,88,stable,11,18,2100,2025-03-31,24.0,180,no,yes
R146,prod-backup-service,2024-11,S3 + Glacier,production,88,stable,12,18,2100,2025-03-31,24.0,210,no,yes
R147,prod-backup-service,2024-12,S3 + Glacier,production,88,stable,13,18,2100,2025-03-31,24.0,240,no,yes
R148,prod-backup-service,2025-01,S3 + Glacier,production,88,stable,11,18,2100,2025-03-31,24.0,270,no,yes
R149,prod-backup-service,2025-02,S3 + Glacier,production,88,stable,14,18,2100,2025-03-31,24.0,300,no,yes
R150,prod-backup-service,2025-03,S3 + Glacier,production,88,stable,13,18,2100,2025-03-31,24.0,330,no,yes
R151,prod-analytics-pipeline,2024-10,EC2 Instance,production,265,rising,66,71,18700,2025-03-31,22.0,180,no,yes
R152,prod-analytics-pipeline,2024-11,EC2 Instance,production,265,rising,67,71,19200,2025-03-31,22.0,210,no,yes
R153,prod-analytics-pipeline,2024-12,EC2 Instance,production,270,rising,68,71,19700,2025-03-31,22.0,240,no,yes
R154,prod-analytics-pipeline,2025-01,EC2 Instance,production,270,rising,66,71,20200,2025-03-31,22.0,270,no,yes
R155,prod-analytics-pipeline,2025-02,EC2 Instance,production,275,rising,69,71,20700,2025-03-31,22.0,300,no,yes
R156,prod-analytics-pipeline,2025-03,EC2 Instance,production,275,rising,68,71,21200,2025-03-31,22.0,330,no,yes
R157,prod-notification-svc,2024-10,SNS + SES,production,62,stable,28,31,44000,2025-03-31,24.0,180,no,yes
R158,prod-notification-svc,2024-11,SNS + SES,production,62,stable,29,31,44000,2025-03-31,24.0,210,no,yes
R159,prod-notification-svc,2024-12,SNS + SES,production,62,stable,30,31,44000,2025-03-31,24.0,240,no,yes
R160,prod-notification-svc,2025-01,SNS + SES,production,62,stable,28,31,44000,2025-03-31,24.0,270,no,yes
R161,prod-notification-svc,2025-02,SNS + SES,production,62,stable,31,31,44000,2025-03-31,24.0,300,no,yes
R162,prod-notification-svc,2025-03,SNS + SES,production,62,stable,30,31,44000,2025-03-31,24.0,330,no,yes
R163,prod-file-storage,2024-10,S3 Standard,production,124,stable,13,18,8900,2025-03-31,24.0,180,no,yes
R164,prod-file-storage,2024-11,S3 Standard,production,124,stable,14,18,8900,2025-03-31,24.0,210,no,yes
R165,prod-file-storage,2024-12,S3 Standard,production,124,stable,15,18,8900,2025-03-31,24.0,240,no,yes
R166,prod-file-storage,2025-01,S3 Standard,production,124,stable,13,18,8900,2025-03-31,24.0,270,no,yes
R167,prod-file-storage,2025-02,S3 Standard,production,124,stable,16,18,8900,2025-03-31,24.0,300,no,yes
R168,prod-file-storage,2025-03,S3 Standard,production,124,stable,15,18,8900,2025-03-31,24.0,330,no,yes
